time_key,n_assets,pearson,spearman,pearson_cs,spearman_cs
21695,100,-0.311369,-0.094341,-0.311369,-0.094341
21791,100,0.122233,-0.055458,0.122233,-0.055458
21815,100,0.256281,-0.232991,0.256281,-0.232991
21839,100,0.191515,-0.140762,0.191515,-0.140762
21863,100,0.266419,-0.049703,0.266419,-0.049703
21959,100,0.907673,-0.094821,0.907673,-0.094821
21983,100,0.478682,0.150562,0.478682,0.150562
22007,100,0.522907,-0.134114,0.522907,-0.134114
22031,100,0.315184,-0.314138,0.315184,-0.314138
22127,100,-0.772532,0.118584,-0.772532,0.118584
22151,100,-0.709286,0.167543,-0.709286,0.167543
22175,100,-0.626643,0.111095,-0.626643,0.111095
22199,100,-0.321746,-0.092289,-0.321746,-0.092289
22319,100,0.003463,0.061332,0.003463,0.061332
22343,100,-0.432446,-0.150675,-0.432446,-0.150675
22367,100,0.788990,0.254977,0.788990,0.254977
22463,100,-0.914712,0.010417,-0.914712,0.010417
22487,100,-0.658193,-0.050957,-0.658193,-0.050957
22511,100,0.756733,0.124207,0.756733,0.124207
22535,100,-0.633803,0.149247,-0.633803,0.149247
22631,100,0.101291,0.220091,0.101291,0.220091
22655,100,-0.491105,-0.038980,-0.491105,-0.038980
22679,100,-0.373047,0.172169,-0.373047,0.172169
22703,100,-0.345605,-0.099658,-0.345605,-0.099658
22799,100,-0.172044,0.029139,-0.172044,0.029139
22823,100,0.886581,-0.083084,0.886581,-0.083084
22847,100,-0.527632,-0.416149,-0.527632,-0.416149
22871,100,0.404679,-0.025875,0.404679,-0.025875
22967,100,-0.937572,-0.069535,-0.937572,-0.069535
22991,100,0.485796,-0.024170,0.485796,-0.024170
23015,100,-0.347820,-0.202160,-0.347820,-0.202160
23039,100,0.650769,-0.182142,0.650769,-0.182142
23135,100,-0.449823,-0.014161,-0.449823,-0.014161
23159,100,-0.831624,-0.053669,-0.831624,-0.053669
23183,100,-0.798852,0.171989,-0.798852,0.171989
23207,100,0.393826,-0.034191,0.393826,-0.034191
23303,100,0.103986,0.102718,0.103986,0.102718
23327,100,-0.425552,-0.464098,-0.425552,-0.464098
23351,100,-0.867940,0.149769,-0.867940,0.149769
23375,100,0.069196,0.155548,0.069196,0.155548
23471,100,0.810136,0.186601,0.810136,0.186601
23495,100,0.754783,0.017534,0.754783,0.017534
23519,100,-0.412784,0.148179,-0.412784,0.148179
23543,100,-0.653281,0.107327,-0.653281,0.107327
23639,100,0.214476,0.202232,0.214476,0.202232
23663,100,-0.877813,0.305947,-0.877813,0.305947
23687,100,0.326957,-0.055524,0.326957,-0.055524
23711,100,-0.856876,0.026271,-0.856876,0.026271
