time_key,n_assets,pearson,spearman,pearson_cs,spearman_cs
21695,100,0.909045,0.160816,0.909045,0.160816
21791,100,0.083250,0.188155,0.083250,0.188155
21815,100,-0.202054,-0.124524,-0.202054,-0.124524
21839,100,0.042465,-0.098722,0.042465,-0.098722
21863,100,-0.226075,-0.070045,-0.226075,-0.070045
21959,100,-0.128653,0.160348,-0.128653,0.160348
21983,100,-0.026473,0.157204,-0.026473,0.157204
22007,100,0.015894,-0.089067,0.015894,-0.089067
22031,100,-0.267569,-0.114864,-0.267569,-0.114864
22127,100,0.480003,0.027195,0.480003,0.027195
22151,100,0.737951,0.074258,0.737951,0.074258
22175,100,-0.009774,-0.091389,-0.009774,-0.091389
22199,100,0.444028,-0.078116,0.444028,-0.078116
22319,100,0.073786,0.124987,0.073786,0.124987
22343,100,0.199729,-0.146439,0.199729,-0.146439
22367,100,-0.565995,0.194359,-0.565995,0.194359
22463,100,0.076274,0.108083,0.076274,0.108083
22487,100,-0.097493,-0.042340,-0.097493,-0.042340
22511,100,0.286725,0.010837,0.286725,0.010837
22535,100,0.655009,-0.024974,0.655009,-0.024974
22631,100,-0.101540,0.114222,-0.101540,0.114222
22655,100,0.361922,0.036694,0.361922,0.036694
22679,100,0.352779,0.241068,0.352779,0.241068
22703,100,-0.321030,-0.176382,-0.321030,-0.176382
22799,100,0.018396,0.040186,0.018396,0.040186
22823,100,-0.448655,0.218686,-0.448655,0.218686
22847,100,0.581191,0.361621,0.581191,0.361621
22871,100,0.301196,-0.095188,0.301196,-0.095188
22967,100,-0.422337,-0.052757,-0.422337,-0.052757
22991,100,-0.337031,-0.121573,-0.337031,-0.121573
23015,100,-0.052196,0.139706,-0.052196,0.139706
23039,100,0.721679,0.341662,0.721679,0.341662
23135,100,-0.482416,-0.046133,-0.482416,-0.046133
23159,100,-0.729920,0.007693,-0.729920,0.007693
23183,100,-0.771370,-0.119484,-0.771370,-0.119484
23207,100,0.523520,0.001680,0.523520,0.001680
23303,100,-0.278403,-0.110591,-0.278403,-0.110591
23327,100,-0.346380,-0.466103,-0.346380,-0.466103
23351,100,0.485905,0.351203,0.485905,0.351203
23375,100,0.290510,0.194935,0.290510,0.194935
23471,100,-0.486496,-0.196538,-0.486496,-0.196538
23495,100,-0.501393,-0.054689,-0.501393,-0.054689
23519,100,0.488973,0.279647,0.488973,0.279647
23543,100,0.089352,-0.165737,0.089352,-0.165737
23639,100,-0.196014,-0.082544,-0.196014,-0.082544
23663,100,0.642636,0.386242,0.642636,0.386242
23687,100,-0.665223,0.045977,-0.665223,0.045977
23711,100,0.874824,0.244788,0.874824,0.244788
