time_key,n_assets,pearson,spearman,pearson_cs,spearman_cs
21695,100,-0.638649,-0.074035,-0.638649,-0.074035
21791,100,0.066616,0.209169,0.066616,0.209169
21815,100,0.673968,0.122064,0.673968,0.122064
21839,100,-0.068128,-0.287045,-0.068128,-0.287045
21863,100,0.381644,0.147231,0.381644,0.147231
21959,100,0.901899,0.288257,0.901899,0.288257
21983,100,0.476751,0.035224,0.476751,0.035224
22007,100,0.622579,0.115830,0.622579,0.115830
22031,100,0.544425,0.376431,0.544425,0.376431
22127,100,-0.797635,-0.379682,-0.797635,-0.379682
22151,100,-0.775016,-0.371180,-0.775016,-0.371180
22175,100,-0.674026,0.136526,-0.674026,0.136526
22199,100,-0.637652,-0.200732,-0.637652,-0.200732
22319,100,-0.017538,-0.014816,-0.017538,-0.014816
22343,100,-0.442303,0.025167,-0.442303,0.025167
22367,100,0.849398,0.158716,0.849398,0.158716
22463,100,-0.726045,-0.117000,-0.726045,-0.117000
22487,100,-0.175190,-0.044236,-0.175190,-0.044236
22511,100,0.669672,0.000054,0.669672,0.000054
22535,100,-0.626194,-0.112943,-0.626194,-0.112943
22631,100,0.136349,-0.086517,0.136349,-0.086517
22655,100,-0.506515,-0.124783,-0.506515,-0.124783
22679,100,-0.216770,0.123948,-0.216770,0.123948
22703,100,-0.473864,-0.159052,-0.473864,-0.159052
22799,100,-0.114512,-0.036910,-0.114512,-0.036910
22823,100,0.106200,-0.126637,0.106200,-0.126637
22847,100,-0.668806,-0.536317,-0.668806,-0.536317
22871,100,0.386490,-0.043456,0.386490,-0.043456
22967,100,-0.425755,-0.012805,-0.425755,-0.012805
22991,100,-0.180239,-0.069727,-0.180239,-0.069727
23015,100,0.058609,0.080540,0.058609,0.080540
23039,100,0.826423,0.364392,0.826423,0.364392
23135,100,0.107667,0.059502,0.107667,0.059502
23159,100,-0.381654,0.118584,-0.381654,0.118584
23183,100,-0.420369,-0.243552,-0.420369,-0.243552
23207,100,0.813978,0.113711,0.813978,0.113711
23303,100,-0.279421,0.104878,-0.279421,0.104878
23327,100,0.060062,0.270159,0.060062,0.270159
23351,100,-0.469967,-0.295338,-0.469967,-0.295338
23375,100,-0.423778,-0.217054,-0.423778,-0.217054
23471,100,-0.096629,0.102983,-0.096629,0.102983
23495,100,0.477094,0.016298,0.477094,0.016298
23519,100,-0.412882,-0.221411,-0.412882,-0.221411
23543,100,-0.333936,0.341746,-0.333936,0.341746
23639,100,-0.079025,-0.150075,-0.079025,-0.150075
23663,100,-0.612952,-0.393123,-0.612952,-0.393123
23687,100,0.224522,0.027621,0.224522,0.027621
23711,100,-0.751314,-0.265671,-0.751314,-0.265671
