bin_lo,bin_hi,h,acc,mcc,auc,brier,ece,pos_rate,n
0.0,0.17500202357769012,1,0.4875,-0.019535580410863746,0.49624086267184353,0.28778877096820077,0.16369895067893794,0.49027777777777776,1440
0.0,0.17500202357769012,2,0.497893850042123,-0.02009219115710498,0.49856547132078904,0.280817838944916,0.15646974143918163,0.4877843302443134,1187
0.0,0.17500202357769012,3,0.48641049671977504,-0.004324273214563128,0.4907131956312284,0.31043143198467466,0.21137643379928245,0.4854732895970009,1067
0.0,0.17500202357769012,4,0.5178389398572885,0.04917868511431953,0.517416225749559,0.2739410345707694,0.11352710287626849,0.5137614678899083,981
0.0,0.17500202357769012,5,0.4946004319654428,-0.006819286997564827,0.4789527025449179,0.2824096081672558,0.12879853436550365,0.48272138228941686,926
0.0,0.17500202357769012,6,0.4931350114416476,-0.011588694947906658,0.4961487676056338,0.27283224774015125,0.11854432611907376,0.4874141876430206,874
0.0,0.17500202357769012,7,nan,nan,nan,nan,nan,nan,0
0.0,0.17500202357769012,24,0.5050505050505051,-0.017133027473761362,0.47146319683633114,0.3630795582835635,0.32111213943271927,0.5075757575757576,396
0.17500202357769012,0.4299929440021515,1,0.4940387481371088,0.011034517082409358,0.504803837725159,0.29881446677204065,0.17776149076349954,0.47391952309985097,1342
0.17500202357769012,0.4299929440021515,2,0.4886267902274642,-0.02462050782347837,0.5064501110032308,0.2825275127904098,0.16341221922570753,0.5004212299915753,1187
0.17500202357769012,0.4299929440021515,3,0.48144876325088337,-0.03551771787166625,0.4922145328719723,0.3194212636404237,0.23242027549790514,0.48939929328621906,1132
0.17500202357769012,0.4299929440021515,4,0.4875,-0.009454330486811362,0.49787931366878735,0.2832886815093246,0.15664695822275604,0.525,1040
0.17500202357769012,0.4299929440021515,5,0.5282828282828282,0.04878409747401823,0.5158391391096719,0.2757895185476503,0.11042159622666814,0.5212121212121212,990
0.17500202357769012,0.4299929440021515,6,0.525,0.04698098984404373,0.5067727775196655,0.27446662343037487,0.12238345354795455,0.518,1000
0.17500202357769012,0.4299929440021515,7,nan,nan,nan,nan,nan,nan,0
0.17500202357769012,0.4299929440021515,24,0.5017543859649123,-0.01318482621554409,0.46494133290651435,0.3616291793843213,0.32537309841105816,0.5035087719298246,570
0.4299929440021515,0.8649901747703552,1,0.4877222692633362,0.029428893697604448,0.5099815157116451,0.3148757900312593,0.21631905211925911,0.45808636748518206,1181
0.4299929440021515,0.8649901747703552,2,0.49751655629139074,-0.010500767533902064,0.4952141956008996,0.2848494145994704,0.15472392312294203,0.48841059602649006,1208
0.4299929440021515,0.8649901747703552,3,0.5012722646310432,0.007666165364928784,0.48679742624630223,0.32736093515748554,0.24020006198616126,0.49872773536895676,1179
0.4299929440021515,0.8649901747703552,4,0.4928027095681626,-0.011624323751395185,0.4873592363338057,0.2886307333082721,0.16004475301398147,0.506350550381033,1181
0.4299929440021515,0.8649901747703552,5,0.4977973568281938,-0.008232881380195808,0.5015900621118012,0.28408046586362096,0.15398171571645441,0.5066079295154186,1135
0.4299929440021515,0.8649901747703552,6,0.47733333333333333,-0.05950545137242047,0.4662648766051492,0.28280454313207765,0.15449674762619867,0.5342222222222223,1125
0.4299929440021515,0.8649901747703552,7,nan,nan,nan,nan,nan,nan,0
0.4299929440021515,0.8649901747703552,24,0.5347885402455662,-0.04063980575179258,0.5388554036224061,0.337143139371922,0.2944579914435846,0.5416098226466576,733
0.8649901747703552,1.7949975728988647,1,0.46550137994480223,-0.05789532351357822,0.4761095968430902,0.3490005967659781,0.2865069090819677,0.48114075436982523,1087
0.8649901747703552,1.7949975728988647,2,0.5189328743545611,0.0374894237070867,0.5146722380275012,0.28392297102389275,0.1415770824953734,0.4905335628227194,1162
0.8649901747703552,1.7949975728988647,3,0.4987320371935757,0.006969855206223282,0.5225015864304458,0.3336684745821243,0.2694469889781783,0.49535080304311074,1183
0.8649901747703552,1.7949975728988647,4,0.515077424612877,0.02972872180827626,0.510089656308626,0.2872974570424909,0.15359786596109734,0.4938875305623472,1227
0.8649901747703552,1.7949975728988647,5,0.499185667752443,-0.02052152877418745,0.4992072871160919,0.2936926685993544,0.18477342820177248,0.5171009771986971,1228
