h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5046296296296297,0.498906672000885,0.5225703120231628,4320
1,mcc,0.02900135119291311,0.02307039126753807,0.06751752644777298,4320
12,acc,nan,nan,nan,0
12,mcc,nan,nan,nan,0
24,acc,0.5317815577439571,0.5164174437522888,0.5418813228607178,3351
24,mcc,0.03553352340015568,0.011527108028531075,0.05877581611275673,3351
