h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,n
1,0.28454837,0.8909167,0.098220065,nan,0.52665985,0.31513122,0.44196528,0.26181683,10801
2,0.20872965,0.8956874,0.102125965,0.02191044,0.541698,0.2511944,0.5082581,0.0662659,10801
3,0.2485989,0.8941045,0.099316314,0.13199517,0.5404401,0.26621822,0.476918,0.14055061,10801
4,0.21903273,0.88970226,0.10224964,nan,0.54267627,0.3732777,0.54006165,0.35533988,10801
