h,mcc,auc,brier,acc,ece,n
1,0.3600902372205846,0.623564337448266,0.2606696646469473,0.7157943925233645,0.302167977303545,10700
2,0.3728330817979671,0.6271478531171379,0.27155038631666084,0.717356762314235,0.3171579808488395,10699
3,0.3671616252796364,0.6246324055374607,0.2649712329789463,0.7148331619777549,0.3077801822629256,10699
4,0.30236034048992194,0.5247677557061219,0.2562672091819464,0.7230841121495327,0.27868287007663856,10700
5,0.3739543169646627,0.6155570868021708,0.26522663340392955,0.7232710280373832,0.3081160660011468,10700
6,0.402682364883386,0.6510330295120204,0.27176033678584577,0.7234579439252337,0.3202014622078321,10700
7,nan,nan,0.2232099065313394,1.0,0.47238630056381226,4600
8,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,0
24,0.005729179635793404,0.5085137558634232,0.2861627915738245,0.5064583333333333,0.15681892970421663,4800
