bin_lo,bin_hi,h,acc,mcc,auc,brier,ece,pos_rate,n
0.0,0.0800059586763382,1,0.4769433465085639,-0.043841089102019795,0.47914085663775946,0.2756294305149813,0.13463702665369504,0.4756258234519104,759
0.0,0.0800059586763382,2,0.5264922870556673,0.0016340709981482761,0.4904377213908769,0.2949655199239242,0.1866555396669827,0.46680080482897385,1491
0.0,0.0800059586763382,3,0.511744966442953,0.017345425126407268,0.4969606175634628,0.2836325934312818,0.14753592304126992,0.49161073825503354,1788
0.0,0.0800059586763382,4,0.494136460554371,-0.025514761638526687,0.472975061947305,0.308306587146412,0.21518883558669324,0.4957356076759062,1876
0.0,0.0800059586763382,5,0.5302724520686175,0.0461040650298458,0.5119492942808191,0.28759609151531446,0.16664221881504437,0.4803229061553986,1982
0.0,0.0800059586763382,6,0.49791013584117033,0.0030708787798708714,0.4988335428514635,0.283535076874786,0.15571748426178217,0.5083594566353187,1914
0.0,0.0800059586763382,7,0.5061728395061729,0.03475298121456608,0.5298839719373988,0.2686545970365966,0.11218859950701394,0.4617283950617284,810
0.0,0.0800059586763382,8,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,9,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,10,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,11,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,12,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,13,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,14,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,15,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,16,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,17,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,18,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,19,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,20,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,21,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,22,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,23,nan,nan,nan,nan,nan,nan,0
0.0,0.0800059586763382,24,1.0,nan,nan,0.07549276713305986,0.2747594714164734,1.0,1
0.0800059586763382,0.19998931884765625,1,0.48693586698337293,-0.025828593018746827,0.5005868544600939,0.2717080904434655,0.13205694387757583,0.505938242280285,842
0.0800059586763382,0.19998931884765625,2,0.48672566371681414,-0.038208070578302986,0.4782220943613349,0.31580423437574057,0.23190688436047918,0.5006321112515802,1582
0.0800059586763382,0.19998931884765625,3,0.4820936639118457,-0.05881331209296723,0.45944992862058986,0.2928560205708415,0.17551527500727288,0.4809917355371901,1815
0.0800059586763382,0.19998931884765625,4,0.48372862658576943,-0.04496587822397867,0.46504612164431575,0.31258010402385544,0.21600803539724026,0.4991726420297849,1813
0.0800059586763382,0.19998931884765625,5,0.510863804981452,0.041128091291545384,0.504276490985211,0.2979528100692871,0.18489083268091866,0.5076841547429782,1887
0.0800059586763382,0.19998931884765625,6,0.49498680738786277,0.0065357158507289535,0.49387577431776325,0.28550059803449335,0.1566643895487987,0.5224274406332454,1895
0.0800059586763382,0.19998931884765625,7,0.5138055222088835,0.04569565494850277,0.5297367265330652,0.2725922795458455,0.11402111377965071,0.47539015606242496,833
0.0800059586763382,0.19998931884765625,8,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,9,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,10,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,11,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,12,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,13,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,14,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,15,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,16,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,17,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,18,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,19,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,20,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,21,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,22,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,23,nan,nan,nan,nan,nan,nan,0
0.0800059586763382,0.19998931884765625,24,0.5,nan,nan,0.20463155102281583,0.44805166125297546,0.0,2
0.19998931884765625,0.3950027823448181,1,0.5053763440860215,0.01783235488960056,0.5124507159161652,0.27527470925818276,0.13088054292246276,0.4633431085043988,1023
0.19998931884765625,0.3950027823448181,2,0.49765990639625585,-0.01746405990373159,0.4990901714718451,0.3038302292967456,0.21021452465143545,0.49401976079043164,1923
0.19998931884765625,0.3950027823448181,3,0.4727272727272727,-0.0611665308104032,0.4534955858764372,0.3023013289658457,0.19084061003769892,0.49595959595959593,1980
0.19998931884765625,0.3950027823448181,4,0.4661471018022406,-0.047799431937733776,0.4973714553175944,0.3107742808633621,0.23076121672748415,0.5245981490501704,2053
0.19998931884765625,0.3950027823448181,5,0.4856577645895153,-0.017291285807751158,0.4791444939329526,0.30677051415613393,0.20275095649041472,0.5138476755687438,2022
