h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.5046296296296297,0.498906672000885,0.5225703120231628,4320
1,mcc,0.02900135119291311,0.02307039126753807,0.06751752644777298,4320
12,acc,nan,nan,nan,0
12,mcc,nan,nan,nan,0
24,acc,0.9893617021276596,0.9846183657646179,0.9938189387321472,4700
24,mcc,0.9782095767447992,0.9683898687362671,0.9873250126838684,4700
