pnl,hhi,top10
-2.90606980,0.01111934,0.15033865
0.17042625,0.00506625,0.10147859
1.19820047,0.01104205,0.15446705
-0.16931428,0.01116434,0.16332608
0.97250275,0.00485163,0.10645575
1.80121744,0.00628889,0.11745232
-0.11097856,0.00282886,0.08096450
0.55127302,0.01084252,0.14541234
1.42259030,0.01328213,0.16426902
-0.31678638,0.00219257,0.06130087
0.28161669,0.00388536,0.08206046
-0.29277836,0.01084490,0.15215235
-0.28431169,0.01184118,0.15966980
0.20375024,0.00544741,0.10974852
-0.26833439,0.01212530,0.17117164
0.77744635,0.01207239,0.18126744
0.21500524,0.00707605,0.14416722
0.52341637,0.00241621,0.08653632
0.31546081,0.01287468,0.19140052
0.53562211,0.01037532,0.16248879
-0.65991189,0.01044874,0.15162757
-0.11003134,0.01187064,0.15660125
0.27688289,0.01191615,0.15445564
0.36698443,0.00839334,0.11570520
0.35677190,0.01017954,0.12517121
-1.12028454,0.01236506,0.16372068
-0.10070130,0.01109992,0.16354740
-0.22221433,0.00573383,0.13160888
2.29039691,0.01294774,0.17695944
1.49819166,0.01239035,0.14451709
0.63439028,0.01275039,0.14697266
-0.56260283,0.00601084,0.10164333
0.08330033,0.01205844,0.14890539
0.97199591,0.01151509,0.13768035
0.21402377,0.00706488,0.10288716
-2.08708504,0.01112606,0.14059352
-0.07278346,0.00947629,0.14901133
0.11935197,0.01016254,0.15079662
2.56690189,0.01196736,0.15785436
0.84611056,0.01279213,0.16809770
-0.39809849,0.00505640,0.11276822
-1.61351060,0.01158451,0.16609297
1.17124880,0.01313409,0.17494515
0.40962444,0.00591594,0.12073253
0.36573753,0.00708403,0.14500558
3.19326367,0.00906433,0.15377933
-1.06056713,0.01077163,0.16112701
1.44952061,0.00651835,0.13646506
